Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hours,Duration_mins
Jet Airways,Delhi,Cochin,1.0,14714,12,6,22,50,19,0,20,10
IndiGo,Delhi,Cochin,1.0,8784,27,5,4,55,21,0,16,5
Air India,Delhi,Cochin,0.0,6724,9,4,14,5,17,55,3,50
Jet Airways,Kolkata,Banglore,1.0,7064,1,4,20,0,12,0,16,0
Jet Airways,Kolkata,Banglore,1.0,14388,15,5,21,10,8,15,11,5
Jet Airways,Kolkata,Banglore,1.0,14151,24,5,17,0,23,35,6,35
Jet Airways,Kolkata,Banglore,1.0,10844,1,5,21,10,8,15,11,5
Multiple carriers,Delhi,Cochin,1.0,9794,15,5,6,0,12,35,6,35
Multiple carriers,Delhi,Cochin,1.0,9595,18,5,18,0,1,30,7,30
Jet Airways,Banglore,New Delhi,1.0,7832,21,3,7,0,16,10,9,10
IndiGo,Delhi,Cochin,1.0,7189,3,6,21,50,3,35,5,45
Jet Airways,Delhi,Cochin,2.0,8834,21,3,19,10,4,25,33,15
Jet Airways,Kolkata,Banglore,1.0,11134,24,3,13,55,22,35,8,40
IndiGo,Kolkata,Banglore,0.0,4174,6,4,21,25,0,5,2,40
Jet Airways,Banglore,New Delhi,1.0,11087,12,3,22,55,18,25,19,30
Jet Airways,Kolkata,Banglore,1.0,10844,21,5,8,25,18,15,9,50
Multiple carriers,Delhi,Cochin,1.0,10197,9,5,9,0,19,0,10,0
Multiple carriers,Delhi,Cochin,1.0,13587,9,6,7,5,21,0,13,55
Air Asia,Banglore,Delhi,0.0,3383,15,5,11,10,13,55,2,45
IndiGo,Kolkata,Banglore,1.0,4565,24,4,15,15,20,5,4,50
IndiGo,Delhi,Cochin,1.0,6426,21,3,2,0,7,45,5,45
IndiGo,Banglore,Delhi,0.0,3943,6,6,13,0,15,50,2,50
Air India,Banglore,Delhi,0.0,6961,6,6,10,0,12,45,2,45
Jet Airways,Delhi,Cochin,1.0,10577,9,6,18,15,12,35,18,20
SpiceJet,Banglore,Delhi,0.0,3971,15,6,21,10,0,5,2,55
Multiple carriers,Delhi,Cochin,1.0,7933,15,6,9,0,21,0,12,0
Jet Airways,Delhi,Cochin,2.0,15129,27,5,9,40,12,35,26,55
Air India,Delhi,Cochin,2.0,10493,27,3,12,0,19,15,7,15
Air Asia,Kolkata,Banglore,1.0,7870,9,6,7,35,23,30,15,55
Air India,Delhi,Cochin,1.0,10454,1,6,9,0,19,15,10,15
IndiGo,Banglore,New Delhi,0.0,5694,21,3,13,0,15,50,2,50
Jet Airways,Kolkata,Banglore,1.0,12692,12,6,9,35,21,5,11,30
IndiGo,Banglore,Delhi,0.0,4823,6,4,16,55,19,55,3,0
Vistara,Kolkata,Banglore,1.0,13310,24,3,17,0,9,10,16,10
Jet Airways,Delhi,Cochin,1.0,10262,3,6,10,0,12,35,26,35
Jet Airways,Banglore,Delhi,0.0,5198,12,5,11,10,14,5,2,55
IndiGo,Chennai,Kolkata,0.0,3540,1,6,15,40,18,25,2,45
SpiceJet,Kolkata,Banglore,0.0,3841,6,5,6,55,9,30,2,35
Air Asia,Banglore,Delhi,0.0,4483,12,5,23,55,2,45,2,50
IndiGo,Delhi,Cochin,1.0,5073,3,4,7,35,12,10,4,35
Jet Airways,Kolkata,Banglore,1.0,14571,9,6,16,30,22,35,6,5
Multiple carriers,Delhi,Cochin,1.0,13377,3,6,11,30,1,30,14,0
Jet Airways,Kolkata,Banglore,1.0,13941,12,5,6,30,4,40,22,10
Air India,Kolkata,Banglore,1.0,8366,1,5,16,50,7,55,15,5
Multiple carriers,Delhi,Cochin,1.0,16108,1,6,8,0,19,15,11,15
SpiceJet,Banglore,Delhi,0.0,3311,15,5,5,55,8,35,2,40
IndiGo,Banglore,New Delhi,0.0,4377,9,3,22,20,1,10,2,50
Jet Airways,Kolkata,Banglore,1.0,14781,18,5,14,5,23,35,9,30
Vistara,Kolkata,Banglore,1.0,8085,12,6,20,20,20,20,24,0
GoAir,Banglore,Delhi,0.0,4239,3,4,7,45,10,40,2,55
Multiple carriers,Delhi,Cochin,1.0,6093,27,6,14,55,22,30,7,35
Multiple carriers,Delhi,Cochin,1.0,16108,15,6,10,0,19,15,9,15
Multiple carriers,Delhi,Cochin,1.0,15147,3,3,10,20,1,35,15,15
Multiple carriers,Delhi,Cochin,1.0,13377,27,6,14,0,1,30,11,30
Jet Airways,Kolkata,Banglore,1.0,14151,18,5,9,35,21,5,11,30
Jet Airways,Kolkata,Banglore,1.0,14388,21,5,6,30,9,20,26,50
Jet Airways,Kolkata,Banglore,1.0,9663,24,5,16,30,9,20,16,50
Air India,Kolkata,Banglore,2.0,11411,12,5,5,50,23,15,17,25
Jet Airways,Banglore,New Delhi,1.0,16736,6,3,5,45,18,25,12,40
Jet Airways,Mumbai,Hyderabad,0.0,5678,12,5,2,55,4,20,1,25
Air India,Kolkata,Banglore,1.0,7893,1,4,17,30,12,0,18,30
Jet Airways,Mumbai,Hyderabad,0.0,4050,1,6,2,55,4,20,1,25
SpiceJet,Chennai,Kolkata,0.0,3543,18,6,9,45,12,0,2,15
Multiple carriers,Delhi,Cochin,2.0,6653,21,3,7,5,21,20,14,15
IndiGo,Delhi,Cochin,1.0,6307,27,4,21,50,3,35,5,45
Jet Airways,Delhi,Cochin,1.0,12373,9,5,15,0,12,35,21,35
Multiple carriers,Delhi,Cochin,1.0,8099,21,5,9,15,19,15,10,0
Air India,Kolkata,Banglore,0.0,5510,27,5,14,15,16,45,2,30
GoAir,Banglore,Delhi,0.0,5048,18,4,7,45,10,40,2,55
Multiple carriers,Delhi,Cochin,1.0,8937,1,6,6,40,19,15,12,35
Jet Airways,Kolkata,Banglore,1.0,7064,1,4,16,30,23,35,7,5
Jet Airways,Delhi,Cochin,2.0,11543,21,3,5,40,4,25,22,45
Jet Airways,Kolkata,Banglore,1.0,14388,12,5,21,10,9,20,12,10
Air India,Chennai,Kolkata,0.0,9340,6,3,11,40,13,55,2,15
Jet Airways,Kolkata,Banglore,1.0,11841,9,6,21,10,9,20,12,10
Jet Airways,Banglore,New Delhi,1.0,25735,1,3,11,40,9,30,21,50
Air India,Banglore,New Delhi,1.0,6955,21,3,22,0,13,20,15,20
IndiGo,Delhi,Cochin,1.0,6600,27,5,5,5,16,10,11,5
IndiGo,Mumbai,Hyderabad,0.0,4392,9,5,12,0,13,30,1,30
IndiGo,Delhi,Cochin,1.0,5298,15,6,6,50,12,10,5,20
Multiple carriers,Delhi,Cochin,1.0,9315,27,5,6,40,19,0,12,20
IndiGo,Delhi,Cochin,1.0,6069,6,6,16,0,21,0,5,0
Jet Airways,Kolkata,Banglore,1.0,11467,1,5,9,35,14,25,28,50
IndiGo,Delhi,Cochin,1.0,10236,3,3,8,35,22,20,13,45
IndiGo,Banglore,New Delhi,0.0,7303,24,3,22,20,1,10,2,50
Jet Airways,Banglore,Delhi,0.0,7229,9,5,19,50,22,50,3,0
SpiceJet,Mumbai,Hyderabad,0.0,1965,1,4,13,15,14,45,1,30
Air India,Delhi,Cochin,2.0,9443,12,6,16,40,19,15,26,35
Jet Airways,Delhi,Cochin,2.0,13029,21,5,9,40,19,0,9,20
Jet Airways,Kolkata,Banglore,1.0,13364,1,4,14,5,23,35,9,30
Jet Airways,Delhi,Cochin,2.0,13882,9,6,11,45,12,35,24,50
Jet Airways,Delhi,Cochin,1.0,10262,6,6,19,45,4,25,8,40
Jet Airways,Banglore,New Delhi,1.0,11087,9,3,8,55,9,30,24,35
SpiceJet,Delhi,Cochin,1.0,4098,3,4,8,45,13,15,4,30
Multiple carriers,Delhi,Cochin,1.0,10667,27,3,9,10,19,15,10,5
IndiGo,Banglore,Delhi,0.0,4077,3,4,6,5,8,50,2,45
Jet Airways,Banglore,New Delhi,1.0,35185,1,3,18,40,0,45,6,5
IndiGo,Banglore,Delhi,0.0,4823,24,6,7,10,10,5,2,55
Jet Airways,Kolkata,Banglore,1.0,10844,15,5,8,25,18,15,9,50
Jet Airways,Delhi,Cochin,2.0,12609,15,6,9,35,12,35,27,0
Air India,Delhi,Cochin,1.0,5117,3,4,6,5,9,25,27,20
Air India,Banglore,New Delhi,2.0,10835,18,3,6,45,16,30,33,45
Jet Airways,Kolkata,Banglore,1.0,13941,6,5,18,55,4,40,9,45
Air India,Kolkata,Banglore,0.0,31945,24,3,20,45,23,20,2,35
SpiceJet,Delhi,Cochin,1.0,7947,15,5,15,45,22,5,6,20
Jet Airways,Kolkata,Banglore,1.0,10703,6,5,9,35,22,5,12,30
IndiGo,Banglore,Delhi,0.0,4823,27,4,16,55,19,55,3,0
Multiple carriers,Delhi,Cochin,1.0,9646,12,6,9,45,16,10,6,25
Air India,Mumbai,Hyderabad,0.0,3100,15,6,13,55,15,25,1,30
IndiGo,Kolkata,Banglore,0.0,6565,1,3,14,20,16,55,2,35
IndiGo,Chennai,Kolkata,0.0,6297,15,3,7,55,10,15,2,20
IndiGo,Delhi,Cochin,1.0,6206,27,5,17,30,1,30,8,0
Jet Airways,Kolkata,Banglore,1.0,14571,6,6,18,55,8,15,13,20
Jet Airways,Kolkata,Banglore,1.0,10953,9,5,20,25,10,55,14,30
Jet Airways,Delhi,Cochin,2.0,15129,9,5,5,30,19,0,13,30
SpiceJet,Chennai,Kolkata,0.0,3543,1,6,8,20,10,35,2,15
Jet Airways,Banglore,New Delhi,1.0,12547,12,3,21,25,8,15,10,50
Multiple carriers,Delhi,Cochin,1.0,13727,18,5,7,5,21,0,13,55
IndiGo,Kolkata,Banglore,1.0,4226,18,5,6,20,10,20,4,0
Jet Airways,Kolkata,Banglore,1.0,10844,21,5,20,0,19,50,23,50
Multiple carriers,Delhi,Cochin,1.0,7723,6,6,10,0,1,30,15,30
Multiple carriers,Delhi,Cochin,1.0,6723,9,6,14,55,22,30,7,35
Jet Airways,Kolkata,Banglore,1.0,7064,1,4,16,30,20,45,28,15
Air India,Banglore,New Delhi,2.0,7664,15,3,5,50,12,5,30,15
Jet Airways,Kolkata,Banglore,1.0,12692,6,6,20,25,18,0,21,35
IndiGo,Kolkata,Banglore,0.0,4804,18,6,4,40,7,15,2,35
Jet Airways,Banglore,Delhi,0.0,7229,15,5,17,45,20,45,3,0
Jet Airways,Kolkata,Banglore,1.0,13067,15,5,20,25,9,45,13,20
IndiGo,Delhi,Cochin,1.0,6938,9,6,14,20,22,30,8,10
Jet Airways,Banglore,Delhi,0.0,7229,6,4,18,55,22,0,3,5
Air India,Delhi,Cochin,2.0,12646,15,6,5,55,19,15,13,20
Jet Airways,Delhi,Cochin,1.0,10262,12,6,20,55,12,35,15,40
Jet Airways,Banglore,Delhi,0.0,4544,24,4,11,10,14,5,2,55
Multiple carriers,Delhi,Cochin,1.0,8266,6,6,6,0,19,15,13,15
IndiGo,Delhi,Cochin,1.0,7514,3,6,6,50,22,30,15,40
Air India,Delhi,Cochin,1.0,7174,9,5,9,45,23,0,13,15
Vistara,Chennai,Kolkata,0.0,11982,15,6,17,45,20,5,2,20
Jet Airways,Kolkata,Banglore,1.0,9663,21,5,16,30,4,40,12,10
Multiple carriers,Delhi,Cochin,1.0,5797,27,6,11,40,1,30,13,50
IndiGo,Delhi,Cochin,1.0,6027,15,5,17,5,22,15,5,10
Air India,Kolkata,Banglore,2.0,5562,1,4,5,50,13,15,7,25
Air India,Kolkata,Banglore,1.0,8891,12,5,9,25,11,10,25,45
Jet Airways,Delhi,Cochin,1.0,5177,6,4,2,15,12,35,10,20
Air India,Delhi,Cochin,2.0,11281,15,5,5,0,7,40,26,40
Air India,Mumbai,Hyderabad,0.0,3100,3,5,15,0,16,25,1,25
Air India,Delhi,Cochin,1.0,8151,21,5,17,40,8,15,14,35
IndiGo,Delhi,Cochin,1.0,6093,3,6,10,35,21,0,10,25
SpiceJet,Kolkata,Banglore,0.0,3873,1,4,9,0,11,25,2,25
Multiple carriers,Delhi,Cochin,1.0,10197,9,5,8,0,19,0,11,0
IndiGo,Chennai,Kolkata,0.0,8580,1,3,7,55,10,15,2,20
Multiple carriers,Delhi,Cochin,1.0,15867,6,3,7,0,18,50,11,50
Jet Airways,Delhi,Cochin,2.0,13029,9,5,9,40,19,0,9,20
SpiceJet,Chennai,Kolkata,0.0,3543,24,6,8,20,10,35,2,15
Air India,Mumbai,Hyderabad,0.0,3100,18,3,6,20,7,40,1,20
Jet Airways,Kolkata,Banglore,1.0,13759,24,3,19,45,4,45,9,0
Air India,Kolkata,Banglore,2.0,10676,1,5,12,0,21,50,9,50
Air India,Banglore,New Delhi,1.0,8425,9,3,22,0,13,20,15,20
Jet Airways,Delhi,Cochin,2.0,11270,6,6,21,25,12,35,15,10
Jet Airways,Banglore,New Delhi,1.0,16736,6,3,7,0,19,10,12,10
Air India,Delhi,Cochin,2.0,12392,18,5,17,15,19,15,26,0
Jet Airways,Kolkata,Banglore,1.0,8586,6,6,6,30,4,40,22,10
Air India,Delhi,Cochin,2.0,9443,24,6,16,40,19,15,26,35
GoAir,Banglore,Delhi,0.0,6722,12,4,7,45,10,40,2,55
Jet Airways,Delhi,Cochin,1.0,12373,9,5,8,0,4,25,20,25
GoAir,Kolkata,Banglore,1.0,6484,1,5,16,40,0,15,7,35
Jet Airways,Kolkata,Banglore,1.0,10844,18,5,20,0,20,45,24,45
Air India,Delhi,Cochin,1.0,8372,15,5,10,0,19,15,9,15
Air India,Delhi,Cochin,2.0,11942,27,6,18,45,19,15,24,30
Vistara,Kolkata,Banglore,1.0,8452,15,5,20,20,9,5,12,45
Vistara,Banglore,Delhi,0.0,4668,9,5,9,45,12,35,2,50
IndiGo,Chennai,Kolkata,0.0,3597,21,5,13,15,15,35,2,20
IndiGo,Chennai,Kolkata,0.0,3384,21,3,7,55,10,15,2,20
Multiple carriers,Delhi,Cochin,1.0,9646,3,6,9,45,22,30,12,45
Air India,Delhi,Cochin,2.0,13538,15,5,13,20,7,40,18,20
Multiple carriers,Delhi,Cochin,1.0,7408,27,6,10,0,21,0,11,0
Jet Airways,Delhi,Cochin,2.0,10368,6,6,5,30,19,0,13,30
Vistara,Mumbai,Hyderabad,1.0,12080,12,3,8,45,22,55,14,10
